6
240
154
889
200   40   20
0   0   0   0
1   5.8   0   40
2   2.9   5   40
3   -2.9   5   40
4   -5.8   0   40
5   -2.9   -5   40
6   2.9   -5   40
7   8.7   5   40
8   0   10   40
9   -8.7   5   40
10   -8.7   -5   40
11   0   -10   40
12   8.7   -5   40
13   5.3   0.8   10
14   3.3   4.3   10
15   6.5   -1.3   10
16   7.2   -2.5   20
17   7.9   -3.8   10
18   6.5   1.3   10
19   7.2   2.5   20
20   7.9   3.8   10
21   2   5   10
22   -2   5   10
23   4.3   5   10
24   5.8   5   20
25   7.2   5   10
26   2.2   6.3   10
27   1.4   7.5   20
28   0.7   8.8   10
29   -3.3   4.3   10
30   -5.3   0.8   10
31   -2.2   6.3   10
32   -1.4   7.5   20
33   -0.7   8.8   10
34   -4.3   5   10
35   -5.8   5   20
36   -7.2   5   10
37   -5.3   -0.8   10
38   -3.3   -4.3   10
39   -6.5   1.3   10
40   -7.2   2.5   20
41   -7.9   3.8   10
42   -6.5   -1.3   10
43   -7.2   -2.5   20
44   -7.9   -3.8   10
45   -2   -5   10
46   2   -5   10
47   -4.3   -5   10
48   -5.8   -5   20
49   -7.2   -5   10
50   -2.2   -6.3   10
51   -1.4   -7.5   20
52   -0.7   -8.8   10
53   3.3   -4.3   10
54   5.3   -0.8   10
55   2.2   -6.3   10
56   1.4   -7.5   20
57   0.7   -8.8   10
58   4.3   -5   10
59   5.8   -5   20
60   7.2   -5   10
61   7.2   0   40
62   3.6   6.3   40
63   -3.6   6.3   40
64   -7.2   0   40
65   -3.6   -6.3   40
66   3.6   -6.3   40
67   10.8   6.3   40
68   0   12.5   40
69   -10.8   6.3   40
70   -10.8   -6.3   40
71   0   -12.5   40
72   10.8   -6.3   40
73   6.7   0.9   10
74   4.1   5.3   10
75   8.1   -1.6   10
76   9   -3.1   20
77   9.9   -4.7   10
78   8.1   1.6   10
79   9   3.1   20
80   9.9   4.7   10
81   2.5   6.3   10
82   -2.5   6.3   10
83   5.4   6.3   10
84   7.2   6.3   20
85   9   6.3   10
86   2.7   7.8   10
87   1.8   9.4   20
88   0.9   10.9   10
89   -4.1   5.3   10
90   -6.7   0.9   10
