6
255
158
919
1000   40   20
0   0   -15   0
1   -1   -14   300
2   1   -14   300
3   -2   -13   180
4   0   -13   300
5   2   -13   180
6   -3   -12   128
7   -1   -12   180
8   1   -12   180
9   3   -12   128
10   -4   -11   100
11   -2   -11   128
12   0   -11   180
13   2   -11   128
14   4   -11   100
15   -5   -10   81
16   -3   -10   100
17   -1   -10   128
18   1   -10   128
19   3   -10   100
20   5   -10   81
21   -6   -9   69
22   -4   -9   81
23   -2   -9   100
24   0   -9   128
25   2   -9   100
26   4   -9   81
27   6   -9   69
28   -7   -8   60
29   -5   -8   69
30   -3   -8   81
31   -1   -8   100
32   1   -8   100
33   3   -8   81
34   5   -8   69
35   7   -8   60
36   -8   -7   52
37   -6   -7   60
38   -4   -7   69
39   -2   -7   81
40   0   -7   100
41   2   -7   81
42   4   -7   69
43   6   -7   60
44   8   -7   52
45   -9   -6   47
46   -7   -6   52
47   -5   -6   60
48   -3   -6   69
49   -1   -6   81
50   1   -6   81
51   3   -6   69
52   5   -6   60
53   7   -6   52
54   9   -6   47
55   -10   -5   42
56   -8   -5   47
57   -6   -5   52
58   -4   -5   60
59   -2   -5   69
60   0   -5   81
61   2   -5   69
62   4   -5   60
63   6   -5   52
64   8   -5   47
65   10   -5   42
66   -11   -4   39
67   -9   -4   42
68   -7   -4   47
69   -5   -4   52
70   -3   -4   60
71   -1   -4   69
72   1   -4   69
73   3   -4   60
74   5   -4   52
75   7   -4   47
76   9   -4   42
77   11   -4   39
78   -12   -3   36
79   -10   -3   39
80   -8   -3   42
81   -6   -3   47
82   -4   -3   52
83   -2   -3   60
84   0   -3   69
85   2   -3   60
86   4   -3   52
87   6   -3   47
88   8   -3   42
89   10   -3   39
90   12   -3   36
91   -13   -2   33
92   -11   -2   36
93   -9   -2   39
94   -7   -2   42
95   -5   -2   47
96   -3   -2   52
97   -1   -2   60
98   1   -2   60
99   3   -2   52
100   5   -2   47
101   7   -2   42
102   9   -2   39
103   11   -2   36
104   13   -2   33
105   -14   -1   31
106   -12   -1   33
107   -10   -1   36
108   -8   -1   39
109   -6   -1   42
110   -4   -1   47
111   -2   -1   52
112   0   -1   60
113   2   -1   52
114   4   -1   47
115   6   -1   42
116   8   -1   39
117   10   -1   36
118   12   -1   33
119   14   -1   31
120   -15   0   29
121   -13   0   31
122   -11   0   33
123   -9   0   36
124   -7   0   39
125   -5   0   42
126   -3   0   47
127   -1   0   52
128   1   0   52
129   3   0   47
130   5   0   42
131   7   0   39
132   9   0   36
133   11   0   33
134   13   0   31
135   15   0   29
136   -14   1   29
137   -12   1   31
138   -10   1   33
139   -8   1   36
140   -6   1   39
141   -4   1   42
142   -2   1   47
143   0   1   52
144   2   1   47
145   4   1   42
146   6   1   39
147   8   1   36
148   10   1   33
149   12   1   31
150   14   1   29
151   -13   2   29
152   -11   2   31
153   -9   2   33
154   -7   2   36
155   -5   2   39
156   -3   2   42
157   -1   2   47
158   1   2   47
159   3   2   42
160   5   2   39
161   7   2   36
162   9   2   33
163   11   2   31
164   13   2   29
165   -12   3   29
166   -10   3   31
167   -8   3   33
168   -6   3   36
169   -4   3   39
170   -2   3   42
171   0   3   47
172   2   3   42
173   4   3   39
174   6   3   36
175   8   3   33
176   10   3   31
177   12   3   29
178   -11   4   29
179   -9   4   31
180   -7   4   33
181   -5   4   36
182   -3   4   39
183   -1   4   42
184   1   4   42
185   3   4   39
186   5   4   36
187   7   4   33
188   9   4   31
189   11   4   29
190   -10   5   29
191   -8   5   31
192   -6   5   33
193   -4   5   36
194   -2   5   39
195   0   5   42
196   2   5   39
197   4   5   36
198   6   5   33
199   8   5   31
200   10   5   29
201   -9   6   29
202   -7   6   31
203   -5   6   33
204   -3   6   36
205   -1   6   39
206   1   6   39
207   3   6   36
208   5   6   33
209   7   6   31
210   9   6   29
211   -8   7   29
212   -6   7   31
213   -4   7   33
214   -2   7   36
215   0   7   39
216   2   7   36
217   4   7   33
218   6   7   31
219   8   7   29
220   -7   8   29
221   -5   8   31
222   -3   8   33
223   -1   8   36
224   1   8   36
225   3   8   33
226   5   8   31
227   7   8   29
228   -6   9   29
229   -4   9   31
230   -2   9   33
231   0   9   36
232   2   9   33
233   4   9   31
234   6   9   29
235   -5   10   29
236   -3   10   31
237   -1   10   33
238   1   10   33
239   3   10   31
240   5   10   29
241   -4   11   29
242   -2   11   31
243   0   11   33
244   2   11   31
245   4   11   29
246   -3   12   29
247   -1   12   31
248   1   12   31
249   3   12   29
250   -2   13   29
251   0   13   31
252   2   13   29
253   -1   14   29
254   1   14   29
255   0   15   29

1   3   11   11   10   10   6   15   
2   6   10   6   15   10   15   8   10   12   11   11   11   11   
3   4   11   11   8   12   9   14   12   12   
4   6   8   8   8   8   7   14   14   9   11   10   8   8   
5   1   10   10   
6   6   6   10   5   13   14   10   11   11   9   13   15   9   
7   4   13   9   15   7   8   8   8   10   
8   2   8   10   8   10   
9   4   6   10   11   7   5   10   6   14   
10   6   8   8   13   6   11   5   12   12   12   12   13   5   
11   2   15   6   13   5   
12   4   8   10   5   15   10   5   13   9   
13   5   7   15   12   9   8   8   11   7   12   12   
14   5   7   12   10   10   6   10   5   13   10   8   
15   4   13   5   6   14   12   12   6   12   
16   2   9   9   9   9   
17   3   11   11   8   8   15   7   
18   4   9   9   10   10   6   12   9   9   
19   2   8   8   13   6   
20   1   9   9   
21   3   10   10   15   7   10   10   
22   2   8   8   12   7   
23   5   7   10   8   14   9   9   9   9   11   9   
24   5   8   14   5   11   6   10   11   11   12   12   
25   5   13   8   14   8   12   9   15   8   7   13   
26   1   11   11   
27   4   7   15   9   9   12   7   11   11   
28   3   14   10   10   8   12   12   
29   6   8   8   6   13   14   7   14   5   6   14   11   8   
30   2   9   11   14   8   
31   3   9   9   12   9   9   9   
32   5   12   12   12   12   10   10   9   9   12   9   
33   1   11   9   
34   3   9   9   10   9   6   15   
35   2   10   8   9   9   
36   5   9   15   10   10   13   8   7   10   12   5   
37   4   14   7   10   10   8   8   11   7   
38   6   14   9   5   13   10   12   9   9   10   10   6   12   
39   6   6   10   8   8   10   15   7   12   14   10   10   12   
40   5   7   15   6   12   13   6   8   8   15   8   
41   1   10   10   
42   2   10   15   8   12   
43   6   7   12   12   5   15   10   15   10   10   11   14   6   
44   6   14   9   5   15   12   12   10   13   11   9   8   13   
45   2   12   12   10   13   
46   4   11   9   6   10   8   8   9   9   
47   5   10   12   8   8   5   10   12   12   8   8   
48   2   13   10   12   6   
49   5   8   8   8   12   10   10   9   10   9   9   
50   2   14   8   10   12   
51   5   10   10   7   10   15   9   10   9   14   8   
52   5   8   12   9   9   8   15   9   9   10   10   
53   3   10   13   11   11   11   11   
54   2   11   11   12   8   
55   3   9   10   8   11   8   8   
56   3   7   10   10   7   6   13   
57   6   15   8   7   11   14   9   8   8   9   15   10   11   
58   4   10   11   10   10   9   9   11   5   
59   6   9   9   8   12   10   10   10   8   10   7   12   6   
60   3   11   11   12   7   13   9   
61   5   15   6   10   12   10   10   12   12   11   9   
62   6   12   6   15   6   8   12   15   6   8   14   8   10   
63   3   8   8   9   9   13   10   
64   2   12   5   12   10   
65   2   9   14   10   7   
66   5   15   5   6   13   11   11   12   12   10   10   
67   1   10   10   
68   3   9   9   11   5   13   7   
69   3   7   15   7   15   5   13   
70   6   8   15   7   13   14   5   7   11   9   10   9   9   
71   1   9   9   
72   6   9   10   10   10   6   10   11   11   10   6   8   10   
73   6   12   12   12   12   7   11   5   13   15   10   7   13   
74   1   13   8   
75   1   13   7   
76   6   8   8   6   14   12   12   11   11   7   10   8   8   
77   3   11   5   14   8   11   11   
78   6   12   10   12   12   10   7   11   8   14   10   8   8   
79   4   14   5   7   10   12   12   11   10   
80   3   12   12   7   11   10   7   
81   1   7   14   
82   3   12   12   10   10   10   10   
83   1   11   11   
84   5   13   8   11   10   7   15   8   10   8   8   
85   2   12   12   10   14   
86   1   9   9   
87   1   14   7   
88   6   11   5   15   10   10   12   9   9   14   5   12   12   
89   2   5   15   12   5   
90   6   15   7   5   12   12   12   12   12   8   8   9   9   
91   1   10   13   
92   3   6   10   8   8   8   10   
93   3   7   13   6   14   12   12   
94   5   10   6   5   12   15   10   13   8   8   8   
95   2   11   11   12   6   
96   4   10   9   14   9   11   11   8   8   
97   1   6   12   
98   1   7   13   
99   2   8   8   12   12   
100   1   10   10   
101   1   9   14   
102   6   11   11   10   11   11   11   11   11   8   8   10   10   
103   4   9   9   11   11   10   14   12   12   
104   2   8   8   9   9   
105   4   12   12   8   14   10   10   11   11   
106   2   9   14   11   11   
107   6   12   12   10   10   9   15   15   6   10   10   12   9   
108   1   8   8   
109   3   8   13   13   8   11   5   
110   1   8   11   
111   6   15   6   12   12   8   14   6   13   8   8   7   15   
112   2   6   10   7   15   
113   2   7   14   12   12   
114   6   12   7   15   8   10   13   9   9   12   8   9   9   
115   1   12   10   
116   4   7   10   5   12   7   13   6   10   
117   5   13   8   8   13   11   7   7   12   15   10   
118   5   9   13   12   12   8   8   12   9   13   8   
119   5   5   13   9   12   7   14   12   6   9   9   
120   3   10   10   9   9   10   9   
121   4   10   10   12   12   9   9   6   15   
122   3   7   14   10   7   12   6   
123   5   5   13   7   14   10   10   10   10   10   8   
124   5   8   8   6   14   10   5   9   9   6   14   
125   1   7   15   
126   5   9   9   12   12   9   14   13   7   8   8   
127   3   13   8   11   11   8   8   
128   6   14   7   9   11   11   11   5   10   8   8   14   7   
129   6   10   9   10   14   10   10   11   10   10   9   12   9   
130   5   10   13   12   10   10   10   10   15   5   13   
131   4   14   10   7   15   7   12   6   11   
132   5   9   9   10   9   10   7   12   12   11   11   
133   2   9   9   13   10   
134   3   8   12   8   15   14   7   
135   3   8   8   10   10   12   12   
136   1   8   8   
137   3   9   9   10   9   10   10   
138   3   10   8   15   8   7   11   
139   1   14   6   
140   4   10   12   10   10   10   10   9   9   
141   5   7   13   7   12   8   8   12   10   9   15   
142   5   9   9   10   6   11   8   9   15   7   12   
143   2   15   10   9   12   
144   6   10   15   8   8   10   13   6   11   10   10   15   9   
145   6   9   13   8   8   6   11   8   8   10   10   10   8   
146   1   7   12   
147   6   9   12   12   8   8   11   10   10   7   12   13   8   
148   6   6   11   9   9   10   10   12   10   8   8   8   8   
149   1   7   13   
150   6   10   10   12   7   10   6   15   9   13   7   9   10   
151   3   12   6   5   10   13   6   
152   6   5   11   10   14   12   5   12   12   10   6   8   8   
153   1   13   5   
154   4   14   5   10   15   15   8   10   11   
155   2   13   8   8   13   
156   2   9   9   10   15   
157   1   15   10   
158   5   10   10   11   11   5   15   7   14   8   13   
159   1   14   7   
160   2   9   9   11   8   
161   1   9   15   
162   6   5   14   8   8   8   8   5   13   10   10   14   5   
163   1   10   10   
164   2   5   15   10   12   
165   4   8   8   7   11   11   8   8   13   
166   6   9   10   10   9   12   6   14   9   10   5   8   8   
167   2   11   11   7   14   
168   2   9   9   9   10   
169   5   10   8   11   11   11   6   10   9   14   9   
170   6   14   9   12   12   6   11   12   12   9   9   12   12   
171   3   12   12   13   9   8   8   
172   1   10   6   
173   4   13   8   13   9   10   12   10   10   
174   2   12   7   15   9   
175   3   11   8   11   11   12   12   
176   6   12   10   8   8   14   7   6   14   11   11   9   9   
177   3   6   15   11   11   8   11   
178   6   6   11   15   7   8   8   15   10   11   11   8   8   
179   5   10   12   8   8   13   9   5   12   8   8   
180   1   7   13   
181   6   10   8   14   9   8   8   9   12   14   5   5   10   
182   5   9   11   5   12   9   9   10   10   8   8   
183   3   9   15   12   12   11   11   
184   1   11   11   
185   1   11   11   
186   4   9   9   11   11   5   12   10   13   
187   5   9   14   9   9   8   8   13   6   8   8   
188   6   11   11   14   8   6   14   11   11   5   11   12   12   
189   2   8   8   10   10   
190   3   14   5   12   12   10   10   
191   2   5   15   9   13   
192   5   15   5   10   14   12   6   14   8   8   13   
193   6   8   8   5   11   14   9   14   9   14   5   9   13   
194   4   15   5   10   15   9   9   5   10   
195   5   7   12   8   15   12   12   7   10   15   9   
196   4   10   10   13   8   11   11   9   13   
197   1   10   10   
198   4   11   11   7   12   15   10   8   8   
199   3   10   10   8   8   14   10   
200   6   5   14   10   10   5   14   11   10   8   8   10   10   
201   2   10   10   13   9   
202   5   7   14   13   7   15   7   10   10   13   8   
203   3   13   6   14   6   14   5   
204   6   7   14   5   15   11   7   9   9   11   11   10   15   
205   6   10   14   6   12   8   8   10   10   8   8   10   10   
206   4   11   9   10   11   10   13   13   10   
207   3   6   14   10   10   8   8   
208   3   12   12   8   11   10   10   
209   4   10   14   7   12   9   9   13   7   
210   1   8   8   
211   4   5   11   12   10   11   9   12   12   
212   2   10   15   8   8   
213   6   10   9   12   12   12   8   8   12   6   13   5   10   
214   1   11   10   
215   3   11   6   12   12   9   13   
216   3   10   7   12   12   6   10   
217   4   11   11   7   12   7   14   10   14   
218   3   5   10   10   12   14   5   
219   1   10   10   
220   3   12   12   13   5   12   12   
221   5   9   9   8   8   8   8   5   15   10   10   
222   5   9   9   10   6   12   12   15   5   9   9   
223   3   12   12   8   8   10   10   
224   4   8   8   7   15   11   11   7   10   
225   2   12   6   9   9   
226   4   13   7   12   7   9   15   12   12   
227   3   9   9   8   8   11   11   
228   5   9   15   11   8   5   10   11   11   8   8   
229   6   6   11   9   11   11   5   8   8   9   11   9   11   
230   2   12   5   5   15   
231   3   8   11   9   12   10   15   
232   5   8   10   15   10   14   6   13   5   10   10   
233   3   8   8   9   9   15   10   
234   3   9   9   9   13   12   10   
235   2   10   10   11   11   
236   3   11   11   13   10   11   11   
237   5   14   5   8   11   11   9   14   5   12   5   
238   6   13   8   8   8   6   13   11   11   6   14   12   12   
239   4   10   10   11   11   13   7   10   10   
240   3   7   14   9   12   7   14   
241   4   7   13   8   13   10   7   6   11   
242   3   15   5   14   9   10   10   
243   5   12   7   11   11   12   5   11   11   13   10   
244   4   8   8   9   13   10   14   14   5   
245   2   11   11   10   10   
246   6   8   12   9   9   12   10   11   11   10   5   7   13   
247   6   8   12   12   7   8   8   12   12   11   7   12   7   
248   5   8   8   12   12   11   11   8   8   14   7   
249   6   5   13   10   10   15   7   7   10   10   6   11   11   
250   6   10   11   9   9   10   10   15   10   10   11   12   12   
251   6   10   10   11   11   9   9   6   12   10   7   11   9   
252   6   12   9   9   9   10   7   10   10   14   7   8   14   
253   5   13   9   15   9   11   8   7   10   8   8   
254   5   11   11   7   12   10   5   10   15   8   8   
255   1   11   11   
