6
252
147
861
1000   40   20
0   0   0   0
1   3   1   300
2   3   3   300
3   1   3   300
4   -1   3   300
5   -3   3   300
6   -3   1   300
7   -3   -1   300
8   -3   -3   300
9   -1   -3   300
10   1   -3   300
11   3   -3   300
12   3   -1   300
13   5   1   180
14   5   3   180
15   5   5   180
16   3   5   180
17   1   5   180
18   -1   5   180
19   -3   5   180
20   -5   5   180
21   -5   3   180
22   -5   1   180
23   -5   -1   180
24   -5   -3   180
25   -5   -5   180
26   -3   -5   180
27   -1   -5   180
28   1   -5   180
29   3   -5   180
30   5   -5   180
31   5   -3   180
32   5   -1   180
33   7   1   128
34   7   3   128
35   7   5   128
36   7   7   128
37   5   7   128
38   3   7   128
39   1   7   128
40   -1   7   128
41   -3   7   128
42   -5   7   128
43   -7   7   128
44   -7   5   128
45   -7   3   128
46   -7   1   128
47   -7   -1   128
48   -7   -3   128
49   -7   -5   128
50   -7   -7   128
51   -5   -7   128
52   -3   -7   128
53   -1   -7   128
54   1   -7   128
55   3   -7   128
56   5   -7   128
57   7   -7   128
58   7   -5   128
59   7   -3   128
60   7   -1   128
61   9   1   100
62   9   3   100
63   9   5   100
64   9   7   100
65   9   9   100
66   7   9   100
67   5   9   100
68   3   9   100
69   1   9   100
70   -1   9   100
71   -3   9   100
72   -5   9   100
73   -7   9   100
74   -9   9   100
75   -9   7   100
76   -9   5   100
77   -9   3   100
78   -9   1   100
79   -9   -1   100
80   -9   -3   100
81   -9   -5   100
82   -9   -7   100
83   -9   -9   100
84   -7   -9   100
85   -5   -9   100
86   -3   -9   100
87   -1   -9   100
88   1   -9   100
89   3   -9   100
90   5   -9   100
91   7   -9   100
92   9   -9   100
93   9   -7   100
94   9   -5   100
95   9   -3   100
96   9   -1   100
97   11   1   81
98   11   3   81
99   11   5   81
100   11   7   81
101   11   9   81
102   11   11   81
103   9   11   81
104   7   11   81
105   5   11   81
106   3   11   81
107   1   11   81
108   -1   11   81
109   -3   11   81
110   -5   11   81
111   -7   11   81
112   -9   11   81
113   -11   11   81
114   -11   9   81
115   -11   7   81
116   -11   5   81
117   -11   3   81
118   -11   1   81
119   -11   -1   81
120   -11   -3   81
121   -11   -5   81
122   -11   -7   81
123   -11   -9   81
124   -11   -11   81
125   -9   -11   81
126   -7   -11   81
127   -5   -11   81
128   -3   -11   81
129   -1   -11   81
130   1   -11   81
131   3   -11   81
132   5   -11   81
133   7   -11   81
134   9   -11   81
135   11   -11   81
136   11   -9   81
137   11   -7   81
138   11   -5   81
139   11   -3   81
140   11   -1   81
141   13   1   69
142   13   3   69
143   13   5   69
144   13   7   69
145   13   9   69
146   13   11   69
147   13   13   69
148   11   13   69
149   9   13   69
150   7   13   69
151   5   13   69
152   3   13   69
153   1   13   69
154   -1   13   69
155   -3   13   69
156   -5   13   69
157   -7   13   69
158   -9   13   69
159   -11   13   69
160   -13   13   69
161   -13   11   69
162   -13   9   69
163   -13   7   69
164   -13   5   69
165   -13   3   69
166   -13   1   69
167   -13   -1   69
168   -13   -3   69
169   -13   -5   69
170   -13   -7   69
171   -13   -9   69
172   -13   -11   69
173   -13   -13   69
174   -11   -13   69
175   -9   -13   69
176   -7   -13   69
177   -5   -13   69
178   -3   -13   69
179   -1   -13   69
180   1   -13   69
181   3   -13   69
182   5   -13   69
183   7   -13   69
184   9   -13   69
185   11   -13   69
186   13   -13   69
187   13   -11   69
188   13   -9   69
189   13   -7   69
190   13   -5   69
191   13   -3   69
192   13   -1   69
193   15   1   60
194   15   3   60
195   15   5   60
196   15   7   60
197   15   9   60
198   15   11   60
199   15   13   60
200   15   15   60
201   13   15   60
202   11   15   60
203   9   15   60
204   7   15   60
205   5   15   60
206   3   15   60
207   1   15   60
208   -1   15   60
209   -3   15   60
210   -5   15   60
211   -7   15   60
212   -9   15   60
213   -11   15   60
214   -13   15   60
215   -15   15   60
216   -15   13   60
217   -15   11   60
218   -15   9   60
219   -15   7   60
220   -15   5   60
221   -15   3   60
222   -15   1   60
223   -15   -1   60
224   -15   -3   60
225   -15   -5   60
226   -15   -7   60
227   -15   -9   60
228   -15   -11   60
229   -15   -13   60
230   -15   -15   60
231   -13   -15   60
232   -11   -15   60
233   -9   -15   60
234   -7   -15   60
235   -5   -15   60
236   -3   -15   60
237   -1   -15   60
238   1   -15   60
239   3   -15   60
240   5   -15   60
241   7   -15   60
242   9   -15   60
243   11   -15   60
244   13   -15   60
245   15   -15   60
246   15   -13   60
247   15   -11   60
248   15   -9   60
249   15   -7   60
250   15   -5   60
251   15   -3   60
252   15   -1   60

1   6   11   11   10   10   8   10   6   15   6   10   14   6   
2   5   10   14   13   8   13   10   14   10   12   12   
3   2   9   9   6   10   
4   5   8   15   12   12   9   9   7   14   8   8   
5   4   5   14   8   8   8   10   10   10   
6   5   12   9   9   12   10   10   15   8   12   6   
7   2   15   9   13   10   
8   6   11   10   12   5   10   10   11   11   7   13   13   6   
