6
199
117
687
200   40   20
0   35   35   0
1   22   22   18
2   36   26   26
3   21   45   11
4   45   35   30
5   55   20   21
6   33   34   19
7   50   50   15
8   55   45   16
9   26   59   29
10   40   66   26
11   55   65   37
12   35   51   16
13   62   35   12
14   62   57   31
15   62   24   8
16   21   36   19
17   33   44   20
18   9   56   13
19   62   48   15
20   66   14   22
21   44   13   28
22   26   13   12
23   11   28   6
24   7   43   27
25   17   64   14
26   41   46   18
27   55   34   17
28   35   16   29
29   52   26   13
30   43   26   22
31   31   76   25
32   22   53   28
33   26   29   27
34   50   40   19
35   55   50   10
36   54   10   12
37   60   15   14
38   47   66   24
39   30   60   16
40   30   50   33
41   12   17   15
42   15   14   11
43   16   19   18
44   21   48   17
45   50   30   21
46   51   42   27
47   50   15   19
48   48   21   20
49   12   38   5
50   37   52   7
51   49   49   30
52   52   64   16
53   20   26   9
54   40   30   21
55   21   47   15
56   17   63   19
57   31   62   23
58   52   33   11
59   51   21   5
60   42   41   19
61   31   32   29
62   5   25   23
63   12   42   21
64   36   16   10
65   52   41   15
66   27   23   3
67   17   33   41
68   13   13   9
69   57   58   28
70   62   42   8
71   42   57   8
72   16   57   16
73   8   52   10
74   7   38   28
75   27   68   7
76   30   48   15
77   43   67   14
78   58   48   6
79   58   27   19
80   37   69   11
81   38   46   12
82   46   10   23
83   61   33   26
84   62   63   17
85   63   69   6
86   32   22   9
87   45   35   15
88   59   15   14
89   5   6   7
90   10   17   27
91   21   10   13
92   5   64   11
93   30   15   16
94   39   10   10
95   32   39   5
96   25   32   25
97   25   55   17
98   48   28   18
99   56   37   10
100   41   49   10
101   35   17   7
102   55   45   13
103   55   20   19
104   15   30   26
105   25   30   3
106   20   50   5
107   10   43   9
108   55   60   16
109   30   60   16
110   20   65   12
111   50   35   19
112   30   25   23
113   15   10   20
114   30   5   8
115   10   20   19
116   5   30   2
117   20   40   12
118   15   60   17
119   45   65   9
120   45   20   11
121   45   10   18
122   55   5   29
123   65   35   3
124   65   20   6
125   45   30   17
126   35   40   16
127   41   37   16
128   64   42   9
129   40   60   21
130   31   52   27
131   35   69   23
132   53   52   11
133   65   55   14
134   63   65   8
135   2   60   5
136   20   20   8
137   5   5   16
138   60   12   31
139   40   25   9
140   42   7   5
141   24   12   5
142   23   3   7
143   11   14   18
144   6   38   16
145   2   48   1
146   8   56   27
147   13   52   36
148   6   68   30
149   47   47   13
150   49   58   10
151   27   43   9
152   37   31   14
153   57   29   18
154   63   23   2
155   53   12   6
156   32   12   7
157   36   26   18
158   21   24   28
159   17   34   3
160   12   24   13
161   24   58   19
162   27   69   10
163   15   77   9
164   62   77   20
165   49   73   25
166   67   5   25
167   56   39   36
168   37   47   6
169   37   56   5
170   57   68   15
171   47   16   25
172   44   17   9
173   46   13   8
174   49   11   18
175   49   42   13
176   53   43   14
177   61   52   3
178   57   48   23
179   56   37   6
180   55   54   26
181   15   47   16
182   14   37   11
183   11   31   7
184   16   22   41
185   4   18   35
186   28   18   26
187   26   52   9
188   26   35   15
189   31   67   3
190   15   19   1
191   22   22   2
192   18   24   22
193   26   27   27
194   25   24   20
195   22   27   11
196   25   21   12
197   19   21   10
198   20   26   9
199   18   18   17

1   3   15   9   8   8   10   10   
2   2   12   12   10   6   
3   6   8   12   13   8   13   6   8   12   15   7   10   5   
4   4   8   8   9   12   5   14   9   15   
5   5   10   6   13   9   12   8   14   10   13   5   
6   6   10   5   12   6   13   5   12   6   6   11   12   7   
7   6   5   12   14   9   11   11   10   14   10   14   12   10   
8   4   12   12   14   7   10   6   14   5   
9   4   10   10   10   12   10   11   10   10   
10   4   11   11   11   11   10   12   6   15   
11   3   9   9   9   9   8   8   
12   3   11   11   9   9   5   11   
13   3   7   15   8   8   11   8   
14   3   8   12   13   7   10   10   
15   1   9   13   
16   3   15   8   7   13   11   11   
17   1   10   7   
18   4   8   13   13   6   8   8   11   11   
19   2   11   11   15   6   
20   5   5   13   10   7   12   8   8   8   10   6   
21   5   12   12   10   8   10   8   11   7   5   12   
22   2   11   11   13   10   
23   3   15   8   14   6   11   11   
24   3   10   10   6   11   12   8   
25   5   15   8   12   12   13   10   11   11   12   12   
26   6   14   7   15   9   8   11   12   12   10   14   7   15   
27   6   8   8   9   9   9   9   5   10   13   9   10   10   
28   6   9   9   10   10   6   14   9   9   13   5   15   7   
29   3   10   10   8   12   8   8   
30   3   12   12   10   12   14   6   
31   1   14   8   
32   2   11   6   12   6   
33   6   5   14   10   10   10   8   10   14   11   11   13   5   
34   5   14   7   5   11   11   11   11   6   15   7   
35   4   6   15   11   10   10   10   11   11   
36   1   8   8   
37   1   9   9   
38   4   5   10   8   14   9   12   7   13   
39   6   13   10   15   8   11   6   12   7   13   7   7   11   
40   6   11   10   10   10   8   8   8   15   9   13   12   12   
41   6   5   15   11   7   13   5   9   10   10   10   12   9   
42   2   9   9   11   11   
43   3   8   8   9   9   8   10   
44   1   13   9   
45   6   8   8   10   11   10   8   7   11   13   5   10   10   
46   2   12   7   13   9   
47   1   10   10   
48   3   10   11   6   14   15   7   
49   2   9   15   7   15   
50   2   14   10   13   9   
51   4   11   9   9   13   9   9   13   9   
52   4   9   9   12   8   5   10   5   10   
53   1   7   15   
54   2   7   13   7   12   
55   4   11   11   9   9   11   11   6   12   
56   6   7   13   10   8   7   10   12   12   10   13   5   15   
57   1   8   12   
58   4   14   9   8   8   15   6   8   13   
59   5   9   9   9   9   13   6   9   9   10   10   
60   6   5   11   9   9   10   10   10   10   11   11   10   10   
61   6   10   13   11   9   11   11   10   11   12   12   9   14   
62   2   13   7   15   7   
63   6   10   13   14   8   11   6   9   9   11   5   15   9   
64   1   12   12   
65   3   12   12   14   10   5   10   
66   5   10   10   13   6   15   10   15   9   10   6   
67   6   10   7   9   10   8   8   12   12   5   15   11   11   
68   5   6   10   6   11   11   11   15   6   12   8   
69   1   6   11   
70   5   14   8   12   8   10   10   15   5   9   15   
71   4   6   11   6   10   7   11   5   13   
72   1   12   12   
73   4   11   11   6   10   12   12   12   6   
74   5   11   11   9   9   11   11   9   9   12   6   
75   2   13   8   11   11   
76   2   6   15   12   8   
77   5   5   12   8   14   7   11   7   13   9   9   
78   4   5   14   6   11   9   9   12   12   
79   2   11   11   14   6   
80   3   15   9   9   9   7   12   
81   2   8   10   6   15   
82   4   13   10   11   11   5   11   8   8   
83   5   13   9   12   12   5   13   8   8   12   8   
84   5   14   8   11   7   8   11   12   9   8   8   
85   1   11   11   
86   2   11   5   15   9   
87   6   12   12   11   10   10   11   6   15   7   11   12   12   
88   4   11   11   15   6   10   10   8   13   
89   3   9   9   9   15   9   12   
90   6   7   11   11   5   9   11   9   9   12   12   10   10   
91   3   14   6   9   9   9   9   
92   4   8   14   8   8   14   6   7   12   
93   4   9   13   10   14   13   7   8   8   
94   2   13   7   11   5   
95   5   6   15   11   11   10   10   8   15   11   11   
96   3   12   5   10   7   8   10   
97   5   14   8   8   8   14   10   11   11   11   7   
98   2   8   10   15   8   
99   3   10   10   10   6   10   6   
100   5   11   5   13   10   12   9   9   11   12   12   
101   5   12   12   12   6   12   12   10   10   12   7   
102   5   8   8   10   6   10   10   11   11   8   15   
103   3   10   15   10   15   9   10   
104   1   12   12   
105   4   11   9   6   12   8   10   10   10   
106   6   8   8   12   8   12   8   8   8   8   8   10   7   
107   2   15   6   12   12   
108   5   13   8   12   5   12   9   7   10   10   15   
109   5   11   7   8   8   8   8   10   5   6   15   
110   5   11   9   8   8   12   6   11   11   15   8   
111   2   14   9   5   13   
112   3   12   12   11   9   8   8   
113   4   12   6   8   10   11   10   11   11   
114   1   12   12   
115   2   8   14   10   5   
116   5   15   5   8   13   10   5   11   11   11   10   
117   2   13   9   12   12   
118   5   15   10   9   11   8   13   11   10   13   7   
119   1   9   10   
120   5   15   7   14   8   14   9   5   12   13   9   
121   4   14   6   9   9   10   14   15   10   
122   6   9   14   8   8   11   11   12   12   8   8   11   11   
123   5   15   8   9   9   5   15   14   8   15   9   
124   2   14   5   11   7   
125   1   10   10   
126   5   10   15   8   11   11   11   8   8   11   8   
127   1   10   10   
128   2   8   8   9   9   
129   5   12   12   15   10   12   6   14   6   15   5   
130   5   8   8   6   11   12   9   11   7   13   9   
131   3   8   8   7   10   5   13   
132   1   8   8   
133   1   6   11   
134   3   8   15   9   14   15   8   
135   4   12   12   7   13   5   10   8   10   
136   3   13   6   11   5   10   10   
